course_id,keyword,id
100,COMPUTERS
100,SOCIAL
100,PHYSICAL
104,JAVA
104,MATLAB
104,SAS
105,JAVA
105,PYTHON
105,C
110,SPRING
110,ASP.NET
110,RUBY ON RAILS
115,JAVA
115,C#
115,.NET
116,JAVA
116,C#
116,.NET
201,JAVA
201,OOP
201,JAVA
330,SETS
330,LOGIC
330,GRAPH THEORY
331,JAVA
331,PYTHON
331,C
340,OOP
340,JAVA
340,C
350,C
350,ASSEMBLY
350,QTSPIM
351,C
351,ASSEMBLY
351,QTSPIM
401,JAVA
401,PYTHON
401,C
402,C
402,ASSEMBLY
402,QTSPIM
411,OPENGL
411,C++
411,DIRECTX
422,R
422,PYTHON
422,SQL
425,MICROSOFT SQL SERVER
425,POSTGRESQL
425,MYSQL
429,SSIS
429,TESTDISK
429,RECUVA
430,DYNAMIC PROGRAMMING
430,C++
430,PYTHON
440,JAVA
440,C
440,PYTHON
442,IOS
442,ANDROID
442,REACT NATIVE
443,C
443,ASSEMBLY
443,QTSPIM
445,JAVA
445,C#
445,C
447,JAVA
447,SPRINGMVC
447,CORBA
450,WINDOWS
450,MACOS
450,LINUX
451,GCP
451,AZURE
451,AWS
455,SWITCHES
455,ROUTERS
455,ETHERNET
456,SWITCHES
456,ROUTERS
456,ETHERNET
458,PENETRATION TESTING
458,TOR
458,CRYPTO
470,ARITHMETIC
470,MEMORY
470,I/O
480,KERAS
480,TENSORFLOW
480,THEANO
481,KERAS
481,TENSORFLOW
481,THEANO
482,AIRFLOW
482,MICROSOFT SQL SERVER
482,POSTGRESQL
485,SOCIAL
485,PHYSICAL
485,IMPACTS
487,AGILE
487,TESTING
487,MODELING
492,NONE
492,NONE
492,NONE
495,NONE
495,NONE
495,NONE
497,NONE
497,NONE
497,NONE
511,NONE
511,NONE
511,NONE
512,OPENCV
512,MATLAB
512,SIMPLECV
513,PYTHON
513,GOOGLE MAPS API
513,BING MAPS
520,REDSHIFT
520,BIGQUERY
520,SQL DATA WAREHOUSE
521,JAVA
521,C#
521,C
522,PYTHON
522,R 
522,JULIA
525,MARIA DB
525,MONGODB
525,CASSANDRA
528,SECURITY
528,DOS
528,FIREWALLS
529,RECOVERY
529,DATABASES
529,WAREHOUSING
530,AUTOMATA
530,TURING
530,COMPLEXITIES
531,FINITE STATE MACHINES
531,TURING
531,PUSHDOWN
532,STRINGS
532,ALPHABETS
532,LANGUAGES
533,CONVEX HULLS
533,VORONOI
533,DELAUNEY
535,NP-COMPLETENESS
535,BELLMAN-FORD
535,NETWORK FLOWS
536,LOGIC
536,HOARE
536,CORRECTNESS
537,DEVLOPMENT
537,MAINTENANCE
537,TESTING
538,LINEAR PROGRAMMING
538,CONSTRAINT OPTIMIZATION
538,ROUTING
539,NASH 
539,WALDROP
539,NETWORK FLOWS
540,SYNTAX
540,TRANSLATORS
540,CODE GENERATION
541,C
541,ASSEMBLY
541,QTSPIM
542,PEER-TO-PEER
542,ROUTING
542,MOBILITY
544,PROTOCOL DELAY
544,INTRANETS
544,WEB SERVICES
545,PROCESS ALGEBRAS
545,NETS
545,ACTORS
546,SYSTEM ARCHITECTURES
546,PROGRAMMING
546,PERFORMANCE EVALUATION
547,MOBILE
547,CELLULAR
547,SATETLLITES
548,LAN 
548,WAN
548,MPLS
549,ENCRYPTION
549,KEY EXCHANGE
549,CRYPTO
550,WINDOWS
550,MACOS
550,LINUX
551,KERNEL
551,SEMAPHORES
551,I/O
552,EMBEDDED DEVICES
552,HARDWARE
552,NETWORK TECHNOLOGY
553,GCP
553,AWS
553,AZURE
554,SPARK
554,HADOOP
554,MAPREDUCE
555,QUEUING MODELS
555,ARCHITECTURE
555,OPERATING SYSTEMS
556,SYSTEM SPECIFICATION
556,SYSTEM MODELING
556,SYSTEMS DESIGNS
557,IOT
557,THREATS
557,RESILIENCE
558,SPAM
558,DOS
558,MALWARE
559,MATLAB
559,C
559,C++
560,TEACHING
560,TEACHING
